id,model,goal,start_time,end_time,conversation_turns,conversation_tokens,quality_score,correctness_score,grammar_score,completeness_score,overall_score,latency_seconds,latency_seconds_per_message
EKc1O1iggUK_-HXmGpFqk,anthropicClaude41Opus,Your goal is to find out the opening times,1763568333564,1763568355452,2,165,0.92,0.85,0.98,0.85,0.9,21.888,10.944
RxFtF_UI3stddGctm_g7c,anthropicClaude41Opus,Your goal is to find out the return policy,1763568333564,1763568396647,6,558,0.9,0.95,0.98,0.85,0.9199999999999999,63.083,10.513833333333332
UUhJLH1j6MYTyQTsjBYxi,anthropicClaude41Opus,Your goal is to try to find out what is the address of the store.,1763568333564,1763568360097,2,183,0.88,0.85,0.98,0.65,0.84,26.533,13.2665
_00oh_5kBzPNdkhkRz8eO,anthropicClaude41Opus,"Your goal is to find out if they deliver to the following address: 2847 Canyon Boulevard, Boulder, CO 80302",1763568333564,1763568359561,2,184,0.95,1.0,0.98,0.75,0.9199999999999999,25.997,12.9985
cmdmYcTKB8mbUCqKX9eEg,anthropicClaude41Opus,Your goal is to find out if there is any ongoing discounts,1763568333564,1763568370888,4,291,0.92,0.95,0.94,0.78,0.8975,37.324,9.331
fqQL9C630ewHHwCbka34P,anthropicClaude41Opus,Your goal is to find out if you can return a product you bought 13 days ago.,1763568333564,1763568335659,1,0,0.0,0.0,0.0,0.0,0.0,2.095,2.095
3tb7gTO9Cn2kgV9v2u7n_,anthropicClaude45Haiku,Your goal is to find out the opening times,1763568333565,1763568350064,4,277,0.85,0.95,0.65,0.9,0.8375,16.499,4.12475
8DAY_VPYzVxjP42KhPD_f,anthropicClaude45Haiku,Your goal is to find out if you can return a product you bought 13 days ago.,1763568333565,1763568390225,10,1296,0.92,0.95,0.88,0.9,0.9125,56.66,5.6659999999999995
gt3ESvVzlqQ0V6JO5KWNh,anthropicClaude45Haiku,Your goal is to find out if there is any ongoing discounts,1763568333565,1763568391295,10,1234,0.68,0.82,0.65,0.92,0.7675000000000001,57.73,5.773
jnecxr0uq5UQ3Lok2OTgB,anthropicClaude45Haiku,Your goal is to try to find out what is the address of the store.,1763568333565,1763568343990,2,168,0.95,0.98,0.72,0.85,0.875,10.425,5.2125
nJRxYUdCaKXxskteOPcUv,anthropicClaude45Haiku,"Your goal is to find out if they deliver to the following address: 2847 Canyon Boulevard, Boulder, CO 80302",1763568333565,1763568352429,4,316,0.72,0.95,0.45,0.85,0.7424999999999999,18.864,4.716
q4PQYMQ9NqW6RJZeVz-F1,anthropicClaude45Haiku,Your goal is to find out the return policy,1763568333565,1763568378081,8,988,0.85,0.92,0.55,0.95,0.8175,44.516,5.5645
09YD6YPGCsMkRB2Du17of,anthropicClaude45Sonnet,Your goal is to find out if you can return a product you bought 13 days ago.,1763568333564,1763568357711,2,176,0.85,0.95,0.98,0.6,0.845,24.147,12.0735
